电影名,上映时间,时长,评分,语言,导演,主演
天堂电影院,2019-06-15 (CN),124,84,意大利语,瓦娜·波利,菲利浦·诺瓦雷、雅克·贝汉
上帝之城,2015-04-18 (CN),129,84,葡萄牙语,保罗·林斯,亚历桑德雷·罗德里格斯、莱安德鲁·菲尔米诺
指环王2：双塔奇兵,2003-04-25 (CN),235,84,英语,J.R.R.托尔金,伊利亚·伍德、伊恩·麦克莱恩
大卫·爱登堡：地球上的一段生命旅程,2020-09-28 (GB),83,84,英语,Keith Scholey,大卫·爱登堡、Max Hughes
蛊惑兄弟,2000-09-15 (BR),104,84,葡萄牙语,Ariano Suassuna,马修斯·纳克加勒、赛尔顿·梅罗
惊魂记,1960-06-22 (US),109,84,英语,罗伯特·布洛克,安东尼·帕金斯、珍妮特·利
妙不可言,2021-06-17 (MX),88,84,西班牙语,Estéfani Enríquez Soto,Nora Velázquez、Benny Emmanuel
飞越疯人院,2026-04-16 (CN),135,84,英语,肯·克西,杰克·尼科尔森、布拉德·道里夫
罗小黑战记,2019-08-27 (CN),102,84,汉语,风息,王宥霁、刘明月
蜘蛛侠：平行宇宙,2018-12-21 (CN),116,84,英语,菲尔·洛德,沙梅克·摩尔、杰克·约翰逊
声之形,2017-09-08 (CN),130,84,日语,吉田玲子,入野自由、早见沙织
星球大战5：帝国反击战,1980-05-21 (US),124,84,英语,劳伦斯·卡斯丹,马克·哈米尔、哈里森·福特
哈尔的移动城堡,2004-04-24 (CN),119,84,日语,戴安娜·温尼·琼斯,倍赏千惠子、木村拓哉
素媛,2013-10-02 (KR),122,84,朝鲜语,曹重勋,薛景求、严志媛
加百列的地狱,2020-05-29 (US),122,84,英语,Sylvain Reynard,Melanie Zanetti、吉欧里奥·贝鲁蒂
七宗罪,1995-09-22 (CN),127,84,英语,安德鲁·凯文·沃克,摩根·弗里曼、布拉德·皮特
露西·希姆斯和和平王子,2020-10-19 (US),87,84,英语,,Scarlett Diamond、Vincent Vargas
天国与地狱,1963-03-01 (JP),142,84,日语,埃文·亨特,三船敏郎、仲代达矢
爆裂鼓手,2024-12-06 (CN),107,84,英语,,迈尔斯·特勒、J·K·西蒙斯
美国往事,2015-04-23 (CN),139,84,英语,哈里·格雷,罗伯特·德尼罗、詹姆斯·伍兹
盗梦空间,2010-09-01 (CN),148,84,英语,,莱昂纳多·迪卡普里奥、约瑟夫·高登-莱维特
钢琴家,2003-01-24 (GB),150,84,英语,罗纳德·哈伍德,阿德里安·布罗迪、托马斯·克莱舒曼
鱿鱼游戏： 第二季 制作特辑,2025-01-03 (KR),28,83,朝鲜语,,黄东赫、李政宰
加百列的地狱：第二部,2020-07-31 (US),106,83,英语,Sylvain Reynard,Melanie Zanetti、吉欧里奥·贝鲁蒂
蜘蛛侠：纵横宇宙,2023-06-02 (CN),140,83,英语,乔伊姆·多斯·桑托斯,沙梅克·摩尔、海莉·斯坦菲尔德
沉默的羔羊,2018-04-16 (CN),119,83,英语,托马斯·哈里斯,朱迪·福斯特、安东尼·霍普金斯
加百列的地狱：第三部,2020-11-19 (US),122,83,英语,Sylvain Reynard,Melanie Zanetti、吉欧里奥·贝鲁蒂
后窗,2019-04-13 (CN),113,83,英语,约翰·迈克尔·海耶斯,詹姆斯·斯图尔特、格蕾丝·凯利
激进教学,2023-10-19 (MX),122,83,西班牙语,,欧亨尼奥·德伯兹、Daniel Haddad
真爱留声,2026-06-20 (US),119,83,英语,,佐伊·达奇、尼克·罗宾森
防弹少年团：燃烧舞台电影版,2018-11-15 (KR),85,83,朝鲜语,,RM、Jin
回到未来,1985-07-03 (US),116,83,英语,鲍勃·盖尔,迈克尔·J·福克斯、克里斯托弗·劳埃德
别假正经,2024-06-16 (CN),88,83,英语,,大卫·伯恩、Chris Frantz
美国X档案,1998-10-30 (US),119,83,英语,大卫·麦肯纳,爱德华·诺顿、爱德华·弗朗
幽灵公主,2025-05-01 (CN),134,83,日语,,松田洋治、石田百合子
同级生,2016-02-20 (JP),61,83,日语,中村明日美子,野岛健儿、神谷浩史
生之欲,1952-10-09 (JP),143,83,日语,小国英雄,志村乔、田中春男
荒野机器人,2024-09-20 (CN),102,83,英语,,露皮塔·尼永奥、佩德罗·帕斯卡
未麻的部屋,2024-04-18 (CN),81,83,日语,竹内义和,岩男润子、松本梨香
音魂掠影,2022-02-17 (IT),156,83,意大利语,,埃尼奥·莫里康内、西尔瓦诺·阿戈斯蒂
紫罗兰永恒花园 剧场版,2021-12-25 (CN),140,83,日语,晓佳奈,石川由依、浪川大辅
死亡诗社,2026-04-17 (CN),128,83,英语,托马斯·舒尔曼,罗宾·威廉姆斯、罗伯特·肖恩·莱纳德
这个杀手不太冷,2024-11-01 (CN),133,83,法语,,让·雷诺、娜塔莉·波特曼
惩罚者：最后一击,2026-05-12 (US),51,83,英语,老约翰·维克多·罗米塔,乔·博恩瑟、黛博拉·安·沃尔
带来灵魂：防弹少年团演唱会电影,2019-08-07 (KR),103,83,朝鲜语,,RM、Jin
献给我的前妻,2019-11-08 (EC),94,83,西班牙语,Julio Pañi,Raúl Santana、Nataly Valencia
摩登时代,1936-09-17 (CN),87,83,英语,,查理·卓别林、波莱特·戈达德
大独裁者,2021-09-19 (CN),125,83,英语,,查理·卓别林、波莱特·戈达德
我们如此相爱,1974-12-21 (IT),124,83,意大利语,富里奥·斯卡佩利,Nino Manfredi、维托里奥·加斯曼
五等分的新娘 剧场版,2022-05-20 (JP),136,83,日语,大知庆一郎,松冈祯丞、花泽香菜
从天而降,2019-12-24 (MX),112,83,西班牙语,Alfredo Felix-Diaz,奥马尔·查帕罗、安娜·克劳迪娅·塔兰孔
夜与雾,1956-05-22 (FR),32,83,法语,让·凯罗尔,Michel Bouquet、Reinhard Heydrich
日落大道,2026-04-16 (CN),110,83,英语,小D.M.马什曼,威廉·霍尔顿、格洛丽亚·斯旺森
生活多美好,1946-12-20 (US),131,83,英语,弗朗西丝·古德里奇,詹姆斯·斯图尔特、唐娜·里德
触不可及,2011-11-02 (FR),112,83,法语,埃里克·托莱达诺,弗朗索瓦·克鲁塞、奥玛·希
西部往事,2018-04-16 (CN),166,83,意大利语,塞尔吉奥·多纳蒂,克劳迪娅·卡汀娜、亨利·方达
现代启示录,1979-05-19 (CN),202,83,英语,约瑟夫·康拉德,马丁·辛、马龙·白兰度
萤火之森,2011-09-17 (JP),44,83,日语,,泽田泉、田谷隼
边境奇袭,2025-02-28 (MX),85,83,西班牙语,José Rubén Escalante Méndez,路易斯·阿伯提、诺伊·埃尔南德斯
迈克尔·杰克逊：颤栗,1983-11-21 (US),14,83,英语,迈克尔·杰克逊,迈克尔·杰克逊、Ola Ray
乔西的虎与鱼,2021-06-11 (CN),98,83,日语,桑村沙耶香,中川大志、清原果耶
黑客帝国,2000-01-14 (CN),136,83,英语,莉莉·沃卓斯基,基努·里维斯、劳伦斯·菲什伯恩
新世纪福音战士剧场版：Air／真心为你,1997-07-19 (JP),87,83,日语,鹤卷和哉,绪方惠美、林原惠美
